更新时间,#genre#
2024-10-24 10:32:28,url
CCTV,#genre#
cctv-1,http://110.177.146.171:888/rtp/239.1.1.7:8007$1920x1080
cctv-1,http://211.158.99.53:8004/rtp/225.0.4.74:7980$1920x1080
cctv-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$1920x1080
cctv-1,http://113.25.70.59:8891/rtp/239.1.1.7:8007$1920x1080
cctv-1,http://119.98.51.196:4022/rtp/239.254.96.96:8550$1920x1080
cctv-1,http://111.175.166.209:8686/rtp/239.254.96.96:8550$1920x1080
cctv-1,http://60.168.225.55:2000/rtp/238.1.78.166:7200$1920x1080
cctv-1,http://222.95.209.142:8554/rtp/239.49.8.129:6000$1920x1080
cctv-1,http://222.67.198.96:9898/rtp/239.45.3.145:5140$1920x1080
cctv-1,http://27.16.239.141:8989/rtp/239.254.96.96:8550$1920x1080
cctv-1,http://114.107.2.88:2000/rtp/238.1.78.166:7200$1920x1080
cctv-1,http://114.230.190.227:8600/rtp/239.49.8.129:6000$1920x1080
cctv-1,http://58.48.200.208:12312/rtp/239.254.96.96:8550$1920x1080
cctv-1,http://60.168.231.209:2000/rtp/238.1.78.166:7200$1920x1080
cctv-1,http://60.168.231.218:2000/rtp/238.1.78.166:7200$1920x1080
cctv-1,http://122.139.47.206:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$1920x1080
cctv-1,http://222.218.158.86:8181/tsfile/live/0001_1.m3u8$1920x1080
cctv-1,http://221.218.157.61:3527/rtp/239.3.1.129:8008$1920x1080
cctv-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$1920x1080
cctv-1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$1920x1080
cctv-1,http://119.163.228.205:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
cctv-1,http://113.57.20.158:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
cctv-1,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8?key=txiptv&playlive=1&authid=0
cctv-1,http://118.122.189.74:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
cctv-1,http://112.234.23.81:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
cctv-1,http://58.57.21.166:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
cctv-1,http://60.12.183.46:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
cctv-1,http://58.51.111.46:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
cctv-1,http://123.138.22.30:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
cctv-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
